id,name,age,email,department
1,Alice,25,alice@email.com,Data
1,Alice,25,alice@email.com,Data
2,Bob,,bob@email.com,Engineering
3,Charlie,28,charlie@email,Data
4,David,twenty,david@email.com,HR
5,Eva,30,eva@email.com,Finance
6,Frank,29,frank@email.com,Data
7,Grace,31,grace@email.com,Engineering
8,Helen,,helen@email.com,HR
9,Ian,27,ian@email.com,Finance
10,John,27,ian@email.com,Finance
11,Alice,25,alice@email.com,Data
12,Kate,26,,Data
13,Luke,-5,luke@email.com,Engineering
14,Mary,34,mary@email.com,HR
15,Nancy,29,nancy@email.com,
16,Oscar,45,oscar@email.com,Finance
17,Peter,,peter@email.com,Data
18,Queen,32,queen@email,Engineering
19,Ryan,29,ryan@email.com,HR
20,Sophia,28,sophia@email.com,Finance
